ID;sex;birthRegion;resRegion;eduRegion;eduSize
N00176;sex1;regN1a;regN1a;regN2b;size1
N00177;sex1;regN1a;regN1a;regN1a;size3
N00178;sex1;regN1a;regN1b;regN1a;size1
N00179;sex2;regN1a;regN1c;regN1a;size4
N00180;sex2;regN1b;regN1b;regN1b;size1
N00181;sex1;regN1c;regN1b;regN1c;size1
N00182;sex1;regZ;regN1c;regZ;sizeX
N00183;sex1;regN4a;regN4a;regN4a;size4
N00184;sex2;regN2a;regN1a;regN2a;size3
N00185;sex2;regN1a;regN3a;regN3a;size5
N00186;sex1;regN1a;regN1b;regN1a;size1
N00187;sex1;regN1b;regN4b;regN1b;size1
N00188;sex1;regN2b;regN2b;regN2b;size1
N00189;sex1;regN1a;regN1a;regN2b;size2
N00190;sex1;regN2c;regN1b;regN2c;size1
N00192;sex2;regZ;regN1a;regX;sizeX
N00194;sex2;regN1a;regN1a;regNx;sizeX
N00197;sex2;regN1a;regN3c;regN2b;size4
N00198;sex1;regN3b;regN1a;regN3b;size2
N00200;sex1;regN2a;regN1a;regN2a;size3
N00203;sex2;regN1a;regN1b;regN1a;size1
N00204;sex1;regN1a;regN2d;regN1a;size1
N00205;sex1;regN1a;regN1a;regN1a;size2
N00206;sex2;regN1c;regN3b;regN2c;size1
N00210;sex2;regN1b;regN3c;regNx;sizeX
N00211;sex1;regN1b;regN1b;regN1b;size1
N00213;sex1;regN1a;regN1a;regN2b;size2
N00214;sex1;regN1a;regN1a;regN1a;size1
N00216;sex2;regN1a;regN1b;regN1a;size4
N00222;sex1;regN2a;regN2a;regN2a;size3
N00224;sex1;regZ;regN1a;regN1a;size1
N00225;sex1;regN2a;regN2d;regNx;sizeX
N00227;sex1;regN1a;regN1a;regN1a;size1
N00231;sex1;regN3e;regN1a;regN3a;size3
N00232;sex1;regN2a;regN2a;regN2a;size4
N00233;sex2;regN2c;regN3d;regN3d;size1
N00234;sex1;regN4a;regN1a;regN4a;size1
N00239;sex2;regN1b;regN1a;regNx;sizeX
N00240;sex1;regN1a;regN1c;regN1a;size1
N00241;sex1;regN1a;regN1a;regN1a;size1
N00243;sex1;regN1b;regN2f;regN1b;size1
N00244;sex1;regN1a;regN1a;regN1a;size2
N00245;sex1;regN1a;regN1b;regN1b;size2
N00248;sex2;regN4b;regN4b;regN4b;sizeX
N00250;sex1;regN1b;regN1a;regN1b;size1
N00251;sex1;regN3b;regN3a;regN3a;size4
N00252;sex2;regZ;regN3a;regN3a;size3
N00254;sex1;regN1b;regN1a;regN1b;size2
N00258;sex1;regN1b;regN4b;regNx;sizeX
N00259;sex2;regN4a;regN4a;regN4a;size3
N00260;sex1;regN4b;regN4a;regN4b;size3
N00261;sex2;regN1a;regN3b;regN1a;size1
N00262;sex1;regN2d;regN4a;regNx;sizeX
N00263;sex1;regN1a;regN1b;regN1a;size2
N00265;sex1;regN1a;regN1a;regN1a;size4
N00268;sex2;regZ;regN1b;regX;sizeX
N00269;sex1;regN3b;regN3b;regN3a;size4
N00270;sex2;regZ;regN1a;regX;sizeX
N00271;sex1;regN1b;regN1b;regN1b;size1
N00274;sex1;regN1b;regN1a;regNx;sizeX
N00275;sex2;regN1a;regN1a;regNx;sizeX
N00276;sex1;regN3d;regN1b;regN3d;size4
N00277;sex1;regN3e;regN2f;regN3e;size6
N00278;sex2;regN1b;regN1b;regNx;sizeX
N00280;sex1;regN2a;regN3b;regN3b;size3
N00281;sex1;regN1a;regN3c;regN3b;size2
N00282;sex1;regN2e;regN2b;regN1b;size1
N00283;sex2;regN4b;regN4b;regN4a;size4
N00284;sex1;regN1b;regN1c;regN1b;size2
N00285;sex1;regN1c;regN4a;regNx;sizeX
N00286;sex2;regN1a;regN1a;regN2a;size3
N00291;sex1;regN1a;regN1c;regNx;sizeX
N00292;sex1;regN1c;regN2d;regN2d;size4
N00295;sex2;regN1a;regN1a;regX;sizeX
N00300;sex1;regN3a;regN2a;regN3a;size4
N00302;sex2;regN1b;regN1a;regNx;sizeX
N00303;sex1;regN1a;regN2b;regN4a;size4
N00305;sex2;regN1c;regN1b;regZ;sizeX
N00307;sex2;regN1a;regN1b;regN4a;size1
N00308;sex2;regN1b;regN2f;regN1b;size3
N00309;sex1;regN3d;regN3d;regNx;sizeX
N00310;sex2;regN1a;regN1b;regN1b;size2
N00311;sex1;regN1c;regN2d;regN2b;size4
N00313;sex1;regX;regX;regX;sizeX
N00314;sex1;regN4a;regN4a;regN4a;size1
N00316;sex1;regN4b;regN4b;regN4b;size3
N00317;sex2;regN1a;regN4a;regN2c;size3
N00318;sex1;regN1b;regN1a;regN1b;size1
N00320;sex2;regN2b;regN2c;regN3b;size1
N00321;sex1;regN1b;regN1a;regNx;sizeX
N00322;sex1;regN4a;regN1a;regN1b;size2
N00327;sex1;regN1b;regN1b;regN3c;size2
N00329;sex2;regN3a;regN3e;regN3a;size3
N00331;sex1;regN2e;regN1a;regNx;sizeX
N00332;sex1;regN1c;regN1a;regNx;sizeX
N00333;sex1;regN3b;regN1a;regN1a;size1
N00334;sex2;regN1a;regN2f;regNx;sizeX
N00335;sex2;regN1b;regN1b;regNx;sizeX
N00336;sex2;regN1a;regN1a;regN1a;size1
N00337;sex2;regN1b;regN2b;regN1b;size1
N00338;sex2;regN1c;regN1a;regN1c;size1
N00339;sex1;regN1a;regN1a;regN1a;size1
N00340;sex1;regN3c;regN3d;regN3d;size4
N00342;sex2;regN1a;regN1b;regNx;sizeX
N00343;sex1;regN1a;regN1b;regNx;sizeX
N00344;sex1;regN4b;regN1a;regN4b;size2
N00345;sex2;regN2a;regX;regNx;sizeX
N00346;sex1;regN1b;regN1a;regN1b;size1
N00347;sex1;regN1b;regN2c;regN1b;size1
N00348;sex1;regN1a;regN2c;regN1a;size1
N00349;sex1;regNx;regN2c;regN1a;size2
N00352;sex2;regN1b;regN2c;regNx;sizeX
N00353;sex2;regN1a;regN2c;regNx;sizeX
N00354;sex1;regN3e;regN3d;regNx;sizeX
N00355;sex2;regN3d;regN3d;regN3d;size4
N00356;sex1;regN3d;regN3d;regN3d;size4
N00357;sex2;regN3c;regN3d;regN3c;size6
N00358;sex1;regN2a;regN2b;regNx;sizeX
N00359;sex2;regN1c;regN2c;regN1c;size6
N00360;sex1;regN4b;regN4b;regN4b;size3
N00361;sex2;regX;regX;regX;sizeX
N00362;sex1;regX;regX;regX;sizeX
N00363;sex1;regX;regX;regX;sizeX
N00364;sex1;regX;regX;regX;sizeX
N00365;sex1;regX;regX;regX;sizeX
N00366;sex2;regX;regX;regX;sizeX
N00367;sex1;regNx;regN2c;regNx;sizeX
N00368;sex1;regX;regX;regX;sizeX
N00369;sex2;regX;regX;regX;sizeX
N00370;sex2;regX;regX;regX;sizeX
N00371;sex1;regX;regX;regX;sizeX
N00372;sex1;regX;regX;regX;sizeX
N00373;sex1;regX;regX;regX;sizeX
N00374;sex1;regX;regX;regX;sizeX
N00375;sex2;regX;regX;regX;sizeX
N00376;sex1;regX;regX;regX;sizeX
N00377;sex1;regX;regX;regX;sizeX
N00378;sex2;regX;regX;regX;sizeX
N00379;sex1;regN2c;regN2c;regN2c;size1
N00380;sex1;regN2c;regN2c;regN2c;size1
N00381;sex2;regN2c;regN2c;regN2c;size1
N00382;sex1;regN4b;regN4b;regN4b;size3
N00383;sex2;regN4b;regN4b;regN4b;size6
N00384;sex2;regN4b;regN4b;regN4b;size3
N00385;sex1;regN2d;regN1a;regNx;sizeX
N00386;sex1;regN3d;regN3c;regN3c;size2
N00387;sex2;regN4b;regN4b;regN4b;size5
N00388;sex2;regN4b;regN4b;regNx;sizeX
N00389;sex1;regN1a;regN2b;regNx;sizeX
N00390;sex1;regN4b;regN2c;regN4b;size6
N00391;sex1;regN1a;regN1a;regNx;sizeX
N00392;sex1;regN4a;regN3b;regN4a;size6
N00395;sex1;regN1a;regN1b;regN1a;size4
N00501;sex2;regN3d;regN4a;regN3d;size1
N00502;sex1;regN4a;regN4a;regN4a;size3
N00503;sex2;regN2c;regN4a;regN2c;size1
N00504;sex2;regN2c;regN2c;regN2c;size1
N00505;sex2;regN4a;regN1c;regN4a;size4
N00506;sex2;regN1b;regN4a;regN1b;size2
N00507;sex2;regN1a;regN4a;regN1a;size1
N00508;sex1;regN1a;regN1b;regN3b;size1
N00509;sex1;regN1a;regN4a;regN1b;size2
N00510;sex2;regN3b;regN4a;regN4b;size2
N00511;sex2;regN1b;regN4a;regN1b;size1
N00512;sex2;regN4a;regN4a;regN4a;size4
N00513;sex2;regN4a;regN4a;regN4a;size2
N00514;sex1;regN1a;regN4a;regN2c;size1
N00515;sex1;regN4a;regN4a;regN4a;size1
N00516;sex2;regN1a;regN4a;regN1a;size3
N00517;sex2;regN2c;regN4a;regN4a;size1
N00518;sex2;regN1c;regN2c;regN1c;size1
N00519;sex2;regN1a;regN4a;regN1a;size1
N00520;sex2;regN2e;regN4a;regN1b;size2
N00521;sex2;regZ;regN4a;regN3b;size2
N00522;sex1;regN3d;regN4a;regN1b;size6
N00523;sex2;regN3a;regN4a;regN3a;size4
N00524;sex2;regN2a;regN4a;regN4a;size1
N00525;sex2;regN1b;regN4a;regN4a;size5
N00526;sex1;regN2d;regN1c;regN1a;size1
N00527;sex2;regN1b;regN1b;regN1b;size1
N00528;sex2;regN1a;regN1c;regN1a;size1
N00529;sex1;regN1a;regN4a;regN1a;size1
N00530;sex2;regN1a;regN2b;regN1a;size1
N00531;sex1;regN1a;regN1c;regN1c;size1
N00532;sex2;regN1c;regN1c;regN1c;size1
N00533;sex2;regN1a;regN2f;regN1a;size1
N00534;sex1;regN4a;regN4a;regN4a;size1
N00535;sex2;regN1a;regN2d;regN3a;size4
N00536;sex1;regN3e;regN1c;regN3e;size3
N00537;sex2;regN3b;regN4a;regN3b;size1
N00538;sex1;regN1a;regN4a;regZ;sizeX
N00539;sex1;regN2c;regN4a;regN2c;size1
N00540;sex1;regN3e;regN4a;regN1b;size2
N00541;sex2;regX;regN4a;regN1b;size2
N00542;sex2;regN4a;regN4a;regN4a;size1
N00543;sex2;regN1b;regN2c;regN1b;size1
N00544;sex1;regN4b;regN2c;regN4b;size3
N00545;sex1;regN4a;regN2c;regN2c;size1
N00546;sex1;regN1c;regN2c;regN2c;size1
N00547;sex1;regN1b;regN2c;regN4b;size3
N00548;sex2;regZ;regN2c;regN1a;size1
N00549;sex2;regZ;regN4a;regN1b;size1
N00550;sex1;regN4a;regN2c;regN4a;size4
N00551;sex2;regN4a;regN4a;regN4a;size1
N00552;sex2;regN2b;regN1c;regN1a;size2
N00553;sex1;regN1a;regN2c;regN1a;size1
N00554;sex1;regN4a;regN4a;regN4a;size4
N00555;sex2;regN1c;regN1c;regN1c;size1
N00556;sex2;regN4b;regN2c;regN4a;size4
N00557;sex2;regN4a;regN2c;regN2d;size1
N00558;sex2;regN4a;regN4a;regNx;sizeX
N00559;sex2;regN2f;regN2c;regN2f;size4
N00560;sex2;regN2b;regN2c;regN2b;size1
N00561;sex2;regN4a;regN2c;regN2c;size1
N00562;sex2;regZ;regN2c;regZ;sizeX
N00563;sex1;regN3b;regN1c;regN3b;size2
N00564;sex2;regN1c;regN1c;regN1c;size1
N00565;sex2;regN1b;regN2d;regN1b;size1
N00566;sex2;regN1a;regN1c;regN1a;size1
N00567;sex2;regN3d;regN2c;regN3d;size1
N00568;sex2;regN1b;regN2b;regN2c;size3
N00569;sex2;regN1b;regN4a;regN1b;size2
N00570;sex2;regN1a;regN1c;regN1a;size2
N00571;sex2;regN1a;regN2b;regN1b;size2
N00572;sex2;regN4a;regN1c;regN4a;size2
N00573;sex1;regN4a;regN4a;regN4a;size1
N00574;sex1;regN4a;regN2c;regN4a;size1
N00575;sex2;regN2c;regN2c;regN2c;size1
N00576;sex2;regN1a;regN2c;regN1a;size3
N00577;sex2;regN4a;regN1c;regN4a;size4
N00578;sex2;regZ;regN2c;regN2c;size3
N00579;sex2;regN2c;regN2c;regN2e;size2
N00580;sex2;regN3a;regN1c;regN4a;size6
N00581;sex2;regN1a;regN2c;regN2c;size1
N00582;sex2;regN1a;regN4a;regN1a;size1
N00583;sex2;regN1b;regN4a;regN1b;size1
N00584;sex2;regN1a;regN2c;regN2c;size1
N00585;sex1;regN2d;regN2d;regN2d;size4
N00586;sex1;regN1c;regN2c;regN3b;size4
N00587;sex2;regN3b;regN2d;regN3b;size1
N00588;sex2;regN1a;regN2b;regN1a;size1
N00589;sex2;regN1b;regN2d;regN1a;size1
N00590;sex2;regN1a;regN2c;regN1a;size1
N00591;sex2;regN2d;regN2d;regN2d;size2
N00592;sex2;regN2b;regN2d;regN2d;size4
N00593;sex2;regN2b;regN2d;regN2b;size1
N00594;sex1;regN4a;regN2d;regN4a;size3
N00595;sex1;regN2d;regN2d;regN2d;size4
N00596;sex1;regN2b;regN2d;regN2b;size1
N00597;sex2;regN1a;regN2d;regN1a;size2
N00598;sex2;regN3b;regN3b;regNx;sizeX
N00599;sex2;regN1b;regN2d;regN1b;size5
N00600;sex1;regN3d;regN2b;regN3d;size1
N00601;sex2;regN2c;regN4a;regN1a;size1
N00602;sex2;regN1a;regN2c;regN2c;size1
N00603;sex2;regN2c;regN2c;regN2c;size1
N00604;sex2;regN1a;regN2e;regN2c;size1
N00605;sex2;regN2c;regN4b;regN2c;size1
N00606;sex2;regN2c;regN4b;regN2c;size4
N00607;sex1;regN3b;regN2c;regN3b;size2
N00608;sex2;regZ;regN4a;regN1a;size3
N00609;sex1;regZ;regN4a;regN1a;size1
N00610;sex2;regN4a;regN2c;regN4a;size2
N00611;sex2;regN4a;regN4a;regN4a;size5
N00612;sex2;regN1a;regN1b;regN1b;size1
N00613;sex2;regN1a;regN2c;regN3b;size2
N00614;sex2;regN1c;regN1c;regN3d;size1
N00615;sex2;regN4a;regN4a;regN4a;size1
N00616;sex2;regN4a;regN4a;regN4a;size1
N00617;sex2;regN1a;regN4a;regN2c;size3
N00618;sex2;regN1a;regN2d;regN1a;size1
N00619;sex1;regN1a;regN2d;regN1a;size2
N00620;sex1;regN1a;regN2b;regN1a;size1
N00621;sex1;regN4a;regN4a;regX;sizeX
N00622;sex2;regN2c;regN2d;regN2d;size4
N00623;sex2;regN1a;regN2b;regN1a;size3
N00624;sex2;regN2d;regN2d;regN2d;size1
N00625;sex1;regN4a;regN2d;regN1a;size1
N00626;sex1;regN1b;regN2b;regN1c;size1
N00627;sex2;regN1a;regN2b;regN1b;size1
N00628;sex2;regN1a;regN1a;regN1a;size1
N00629;sex1;regN1a;regN1a;regN1a;size1
N00630;sex1;regN1a;regN1a;regN1a;size1
N00631;sex1;regN2b;regN2d;regN2b;size2
N00632;sex2;regN1a;regN4b;regN1a;size1
N00633;sex1;regN1b;regN4a;regN3e;size2
N00634;sex2;regN2d;regN3b;regN2b;size1
N00635;sex2;regN1b;regN2d;regN1b;size3
N00636;sex2;regN4a;regN2c;regN4a;size1
N00637;sex1;regN2d;regN1c;regN2d;size4
N00638;sex2;regN3d;regN2d;regN3c;size2
N00639;sex2;regN2d;regN2d;regN2d;size3
N00640;sex1;regN2d;regN2d;regN2d;size4
N00641;sex2;regN1a;regN4a;regN1a;size4
N00642;sex1;regN1a;regN2d;regN1c;size1
N00643;sex2;regN3b;regN2d;regN2d;size3
N00644;sex2;regN4a;regN4a;regN4a;size1
N00645;sex1;regZ;regN2d;regN1b;size1
N00647;sex1;regN2b;regN2d;regN2b;size4
N00648;sex2;regN1a;regN4a;regN1a;size1
N00649;sex1;regN3c;regN2d;regN2b;size4
N00650;sex1;regN3b;regN3b;regN3b;size2
N00651;sex2;regN2d;regN2d;regN2d;size4
N00652;sex2;regN1b;regN1b;regN1b;size2
N00653;sex2;regN1a;regN2d;regNx;sizeX
N00654;sex2;regN1b;regN2d;regN1b;size2
N00655;sex2;regN3b;regN2d;regN3b;size2
N00656;sex2;regN2d;regN3b;regN2d;size3
N00657;sex2;regN2b;regN2d;regN2d;size4
N00658;sex2;regN3c;regN2d;regN2d;size4
N00659;sex1;regN3b;regN2d;regN3b;size6
N00660;sex2;regN4a;regN1a;regN4a;size1
N00661;sex1;regN3d;regN2d;regN3e;size4
N00662;sex2;regN1c;regN1c;regN1c;size1
N00663;sex2;regN1b;regN1b;regN1b;size2
N00664;sex1;regN2e;regN2e;regN2e;size4
N00665;sex2;regN1b;regN2b;regN1b;size1
N00666;sex2;regN4a;regN3c;regN4a;size1
N00667;sex2;regN2b;regN2b;regN2b;size2
N00668;sex2;regN1a;regN1a;regN4a;size2
N00669;sex2;regN1a;regN1a;regN1a;size1
N00670;sex1;regN1a;regN3d;regN1a;size1
N00671;sex2;regN1c;regN2b;regN2b;size1
N00672;sex2;regN1c;regN2b;regN2b;size1
N00673;sex1;regN1a;regN1c;regN1a;size2
N00674;sex2;regN2d;regN2b;regN2d;size2
N00675;sex2;regN1a;regN2b;regN1a;size1
N00676;sex1;regN2a;regN2b;regN2a;size3
N00677;sex2;regN1b;regN2b;regN1a;size4
N00678;sex2;regN1b;regN2b;regN1b;size1
N00679;sex1;regN1a;regN2b;regN1a;size1
N00680;sex1;regN1a;regN1a;regN1a;size1
N00681;sex1;regN4a;regN1a;regN1a;size1
N00682;sex1;regN3b;regN3c;regN3b;size4
N00683;sex2;regN1a;regN2d;regNx;sizeX
N00684;sex1;regN2a;regN2d;regN2a;size3
N00685;sex2;regN2b;regN2b;regN2b;size2
N00686;sex2;regN1a;regN1a;regN1a;size1
N00687;sex2;regN1c;regN2d;regN1c;size1
N00688;sex2;regN1b;regN1a;regN1b;size1
N00689;sex1;regN1a;regN1b;regN1a;size2
N00690;sex1;regN1a;regN1a;regN1a;size1
N00691;sex1;regN1a;regN1a;regN1a;size2
N00692;sex1;regN4a;regN1a;regN4a;size1
N00693;sex1;regN2a;regN2b;regN1a;size2
N00694;sex2;regN3b;regN2d;regN3b;size2
N00695;sex1;regN1b;regN2d;regN2d;size1
N00696;sex1;regN1c;regN2d;regN2d;size3
N00697;sex2;regN1a;regN2d;regN3b;size2
N00698;sex2;regN2a;regN2d;regN2a;size3
N00699;sex2;regN1b;regN2d;regN1b;size3
N00700;sex2;regN1a;regN2d;regN1a;size1
N00701;sex2;regN3b;regN2d;regN3b;size3
N00702;sex2;regN1a;regN2d;regN1a;size1
N00703;sex1;regN1a;regN1a;regN1a;size1
N00704;sex1;regN1a;regN3c;regN1a;size1
N00705;sex1;regN1b;regN3d;regN1a;size1
N00706;sex1;regN3d;regN3d;regN3d;size1
N00707;sex1;regN3b;regN4a;regN3b;size2
N00708;sex1;regN3d;regN3d;regN3d;size1
N00709;sex2;regN1a;regN2d;regN1a;size4
N00710;sex1;regN4a;regN1a;regN4a;size1
N00711;sex1;regN1a;regN1a;regN1a;size1
N00712;sex1;regN1a;regN1a;regN1a;size3
N00713;sex1;regN1a;regN1a;regN1a;size1
N00714;sex2;regN1a;regN1a;regN1a;size1
N00715;sex2;regN3d;regN3d;regN3d;size1
N00716;sex1;regN1a;regN1a;regN1a;size1
N00717;sex1;regN1a;regN1a;regN1a;size3
N00718;sex1;regN1a;regN1a;regN1a;size1
N00719;sex1;regN4a;regN4a;regN4a;size1
N00720;sex1;regN3b;regN4a;regN1c;size1
N00721;sex1;regN1c;regN2d;regN1a;size2
N00722;sex1;regZ;regN1a;regN2b;size4
N00723;sex2;regN1a;regN1a;regN1a;size1
N00724;sex2;regN1a;regN1a;regN1a;size1
N00725;sex1;regN1a;regN4a;regN1a;size1
N00726;sex1;regN1a;regN1a;regN1a;size1
N00727;sex1;regN1a;regN1a;regN1a;size1
N00728;sex2;regN1c;regN1a;regN1c;size1
N00729;sex2;regZ;regN1a;regN1a;size2
N00730;sex2;regN1a;regN3d;regN3c;size2
N00731;sex2;regN1b;regN3d;regN3d;size1
N00732;sex2;regN1a;regN1a;regN1a;size1
N00733;sex1;regN1a;regN1a;regN1a;size1
N00734;sex1;regN2b;regN3d;regN1c;size1
N00735;sex1;regN3e;regN3d;regN3d;size1
N00736;sex1;regN1a;regN1a;regN1a;size2
N00737;sex1;regN1b;regN1a;regN1b;size3
N00738;sex1;regN4a;regN1b;regN4a;size1
N00739;sex1;regN1b;regN1b;regN1b;size2
N00740;sex1;regN2c;regN2b;regN3a;size3
N00741;sex1;regN3b;regN1b;regN3b;size2
N00742;sex1;regN1b;regN1b;regN1b;size1
N00743;sex1;regN1b;regN1b;regN1b;size1
N00744;sex1;regN1b;regN1b;regN1b;size2
N00745;sex1;regN1b;regN1b;regN1b;size6
N00746;sex1;regN1b;regN1b;regN1b;size1
N00747;sex1;regN1b;regN1b;regN1b;size1
N00748;sex1;regN4b;regN1b;regN4b;size4
N00749;sex1;regN1b;regN1b;regN1b;size1
N00750;sex1;regN1b;regN1b;regN1b;size2
N00751;sex1;regN1b;regN1b;regN1b;size1
N00752;sex1;regN1b;regN1b;regN1b;size5
N00753;sex2;regN1b;regN1b;regN1b;size2
N00754;sex1;regN3c;regN3d;regN3c;size2
N00755;sex1;regN1a;regN1a;regN1a;size1
N00756;sex2;regN1a;regN1a;regN1a;size1
N00757;sex2;regN1a;regN1a;regN1a;size1
N00758;sex1;regN3e;regN4a;regN2c;size4
N00759;sex1;regN1b;regN1b;regN1a;size3
N00760;sex1;regN1b;regN1b;regN3c;size2
N00761;sex1;regN1b;regN1b;regN1b;size3
N00762;sex1;regN3d;regN1b;regN3d;size6
N00763;sex1;regN1a;regN1b;regN1a;size1
N00764;sex2;regN1b;regN2c;regN1b;size1
N00765;sex2;regN1a;regN2c;regN1a;size1
N00766;sex2;regN1b;regN2c;regN1b;size1
